attendance_percentage,assignments_rate,quizzes_score,previous_grades,time_spent_on_study,extracurricular,stress_level,dropout_confidense
59.76,53.91,97.39,70.48,19.5,0,2,0.6408
79.98,53.48,55.78,68.4545,15.6,0,4,0.7678
66.61,79.65,60.66,74.348,15.3,0,6,0.6539
50.46,80.15,54.49,72.338,23.4,1,1,0.504
60.01,95.31,93.88,80.9515,5.1,1,9,0.4544
55.66,73.38,97.94,74.6595,28.7,1,1,0.4744
92.14,53.4,63.09,73.4765,22.9,0,8,0.5054
62.93,60.48,65.18,65.257,22.7,1,1,0.6145
64.23,50.4,68.13,60.9915,15.5,0,1,0.7636
98,88.84,75.12,72.9665,29.1,1,8,0.2018
68.95,90.78,84.12,76.786,5,0,2,0.504
50.48,99.9,75.22,70.2125,6.9,0,1,0.4328
64.19,70.61,97.55,66.8715,25.1,0,7,0.4606
55.96,50.96,54.99,59.6275,23.5,1,1,0.6974
55.14,61.74,89.93,60.7265,11.8,0,4,0.6369
53.87,79.39,66.72,64.1985,19.9,1,10,0.7093
79.66,98.1,68.88,69.6885,18.3,1,10,0.337
59.47,55.18,85.44,71.3055,18.2,0,9,0.6491
68.06,56.08,96.47,76.0355,19.9,0,10,0.5774
93.1,85.09,85.81,80.8425,29.8,1,3,0.2691
71.22,83.36,88.79,75.0735,29.7,0,6,0.3193
95.78,62.53,87.54,68.5305,29.5,1,10,0.409
74.9,90.66,66.05,63.7085,18.7,1,9,0.4833
69.94,56.44,87.85,66.026,13,1,4,0.5286
87.52,96.29,89.23,84.2065,19,1,3,0.2464
53.66,60.05,76.67,70.8485,20.6,0,5,0.6818
54.47,54.07,76.84,69.618,12.8,0,7,0.7233
82.6,66.98,87.99,67.361,20.8,1,5,0.4295
74.35,59.39,90.85,76.9725,20.5,0,4,0.4836
89.52,76.35,66.86,71.5945,27.6,0,1,0.3957
95.81,84.34,90.08,69.8455,10.9,0,6,0.4239
69.42,74.55,90.71,72.296,22.4,1,4,0.501
79.82,83.03,61.71,76.6915,16.3,1,6,0.3938
75.03,68.25,85.85,67.212,8.2,1,6,0.6535
99.08,51.4,59.33,61.1595,12.9,1,4,0.4571
91.55,98.7,54.65,72.799,6.4,0,8,0.4815
95.59,90.97,78.73,77.3045,13,1,4,0.33
62.72,53.67,95.43,57.7455,6.7,1,5,0.6874
88.63,72.46,51.77,60.702,28.1,0,5,0.4801
63.27,81.75,91.33,69.1895,7.5,1,2,0.5001
60.44,59.53,75.32,58.7995,25.4,1,8,0.5979
97.21,78.9,93.04,58.2715,27.7,1,8,0.2665
50.97,76.68,92.17,80.764,16.7,1,10,0.5825
98.27,60.41,93.76,66.7295,6.3,1,8,0.4803
57.46,57.06,88.44,56.329,19.9,0,1,0.6258
90.97,87.95,92.15,67.1065,10.9,0,7,0.4541
63.8,66.13,58.8,78.7765,9.4,1,3,0.6452
67.54,62.2,65.19,77.634,19.2,0,1,0.6322
60.84,86.89,62.12,87.3955,13.9,0,5,0.5881
79.28,86.8,87.12,70.2295,23.3,0,4,0.3443
67.4,63.82,57.68,77.9125,19.8,1,7,0.5591
82.87,93.63,59.11,73.3495,25.7,0,1,0.4202
50.78,84.41,93.95,66.144,6.5,0,1,0.6457
53.22,67.29,85.29,69.3645,10.9,0,8,0.6981
54.98,71.37,93.77,81.795,19.2,0,4,0.5405
70.95,86.34,56.97,85.8545,27,1,9,0.4864
90.74,60.58,69.95,65.46,25.3,1,10,0.4426
94.41,73.44,64.16,61.8455,22,0,10,0.5291
62.24,82.68,50.48,67.858,19.4,0,5,0.6242
78.72,76.97,64.23,56.16,20.8,1,6,0.5092
88.42,80.42,68.98,70.1075,10.3,1,2,0.4922
64.44,77.31,54.61,62.586,19.9,0,3,0.6773
70.45,59.96,78.32,60.0225,17.3,0,7,0.6914
76.2,70.51,69.16,80.441,14.6,0,7,0.6199
56.74,76.6,52.32,68.415,27.2,0,6,0.6385
51.3,89,85.2,72.606,25.7,0,4,0.5343
57.64,82.7,86.46,69.0695,6.9,1,10,0.5824
81.34,71.33,91.72,74.801,29.6,1,4,0.3365
53.68,98.72,74.28,74.693,10.7,0,8,0.5808
59.48,55.39,98.43,67.61,10.4,0,9,0.6953
66.89,60.34,95.7,74.1105,28.6,1,8,0.4849
53.89,67.07,77.57,62.022,16.1,0,8,0.6725
59.58,61.43,72.25,60.6335,25.1,1,5,0.7121
95.56,81.27,50.15,69.1215,12.2,0,2,0.4463
50.96,51.98,85.55,61.863,26.8,0,10,0.6512
82.67,58.87,78.25,56.9925,25.8,1,2,0.5335
69.22,64.67,96.88,61.07,18,1,2,0.5364
83.63,84.17,79.71,72.425,22.6,0,6,0.4358
79.43,93.79,99.64,78.857,29.1,1,10,0.2703
61.17,89.92,92.69,72.3,16.3,1,5,0.437
92.36,59.1,97.68,83.151,17.4,1,4,0.2964
74.6,78.27,66.38,78.349,23.1,0,4,0.4831
91.13,51.5,57.47,54.584,14.7,0,8,0.6493
70.3,65.53,89.84,64.34,29,1,10,0.5253
99.23,90.3,89.31,71.967,6,0,2,0.3448
88.52,72.83,60.57,73.779,15.1,1,5,0.4266
98.3,57.5,88.24,70.4425,22.8,1,7,0.3573
75.72,71.93,79.1,77.8355,15.7,1,7,0.4943
73.68,59.9,55.48,74.6315,11.5,1,8,0.6163
87.77,69.66,75.09,65.2045,15.3,1,3,0.4162
94.01,74.39,96.56,70.109,27,0,2,0.3126
98.21,67.48,75.32,55.3025,18.7,0,8,0.5161
66.23,96.85,89.43,67.349,13.4,0,9,0.4754
89.94,78.13,51.45,80.852,21.8,0,1,0.4071
60.53,92.14,86.4,73.861,20.3,1,9,0.4554
77.28,88.04,97.34,84.6985,19,0,8,0.2869
58.99,83.06,74.98,64.4745,14.8,1,7,0.5053
67.37,74.84,66.89,67.931,6.8,1,8,0.5969
96.57,50.11,82.33,59.3575,20.5,1,3,0.4476
57.3,80.67,95.81,81.5985,15.5,0,2,0.507
81.62,67.8,58.84,66.6965,15.7,0,4,0.6661
79.65,55.89,70.18,65.564,10.9,1,7,0.658
56.04,72.23,57.81,60.0565,11.2,0,2,0.736
66.3,86.78,74.83,76.04,24.7,0,7,0.4753
78.15,98.08,77.02,68.3025,17,1,7,0.3374
59.36,68.71,97.21,81.9895,7.7,0,10,0.6138
90.03,77.14,70.63,66.4715,6.1,0,9,0.5493
98.61,92.56,78.35,62.592,10.6,0,3,0.4048
60.74,66.7,94.26,74.4355,17.2,1,9,0.4962
59.35,57.11,66.07,83.2625,20.4,1,7,0.6334
72.75,64.09,83.71,61.739,8.6,0,8,0.7351
87.39,94.96,87.86,74.2705,15.8,0,3,0.3307
64.08,57.97,66.53,82.61,6.8,0,5,0.7217
50.99,66.46,58.22,69.676,5.9,0,7,0.8527
77.06,73.23,75.15,80.078,26.6,0,8,0.4362
97.83,92.36,67.84,67.509,21.5,0,6,0.3708
69.56,96.89,63.32,73.5885,24.5,1,6,0.4086
71.01,71.29,98.67,75.1855,9.5,0,5,0.531
98.45,96.6,75.11,67.7065,13.1,1,4,0.2677
84.73,58.07,92.82,69.0945,16.1,0,7,0.5212
85.96,57.84,59.77,76.772,21.5,1,10,0.5472
78.14,97.46,96.97,76.9505,18.4,1,5,0.354
98.73,75.48,89.72,82.399,18.8,1,8,0.3321
84.44,59.3,90.43,60.766,8.9,0,1,0.6693
94.75,74.4,69.49,74.041,16.9,1,8,0.3702
84.97,89.16,74.28,83.0935,25.6,1,5,0.3283
86.76,91.35,79.67,81.592,17.7,1,4,0.3069
64.52,93.2,89.49,76.9945,10,1,6,0.5544
65.17,78.48,92.45,65.812,15.3,0,7,0.5127
89.15,93.35,53.9,69.188,23.9,1,3,0.3122
64.84,75.5,95.2,79.3135,8.4,1,4,0.4577
78.14,80.35,96.87,82.7305,19.5,1,7,0.2291
62.47,87.94,79.64,65.153,29.1,1,7,0.4103
90.85,71.27,59.34,72.427,14.5,1,3,0.4252
55.53,53.68,90.92,71.2475,6.1,0,9,0.7606
91.47,67.51,77.43,80.891,20.8,1,3,0.3716
80.14,81.2,90.86,70.796,6.2,0,8,0.6093
59.35,59.62,90.74,72.502,9.8,0,8,0.7263
77.1,57.42,54.34,69.0185,6.2,1,3,0.6348
64.12,64.65,80.35,60.9075,9.3,0,7,0.6576
66.17,51.61,74.16,60.766,26.4,0,3,0.6633
67.58,87.17,97.31,66.55,23.4,1,2,0.2968
53.17,62.94,64.83,65.1265,13.5,1,7,0.8129
99.3,56.21,60.3,79.709,27.4,1,8,0.4631
51.58,84.96,94.85,76.0295,21.6,0,9,0.5034
83.12,92.15,57.44,64.151,16.2,1,1,0.3449
68.56,50.99,84.33,71.968,6.7,0,9,0.7802
82.3,61.68,65,69.88,23.3,1,2,0.4718
67.81,97.26,78.39,73.852,14.4,1,3,0.4749
83.69,69.26,80.81,75.332,12.6,0,8,0.4423
86.46,96.93,70.87,82.4665,12.2,1,2,0.2923
84.53,63.71,98.75,79.9085,5.2,0,7,0.5098
55.7,60.9,56.59,66.222,23.6,0,8,0.7351
82.84,60.71,69.57,76.419,8.6,1,10,0.5531
64,54.26,71.52,71.546,18,0,5,0.7032
51.44,94.82,81.55,71.752,5.4,1,3,0.5029
70.74,98.99,70.36,87.563,20.7,1,9,0.3577
71.68,97.73,54.85,62.6145,14.2,1,8,0.5353
73.36,92.6,97.37,78.1325,20.8,0,3,0.3699
85.24,92.34,70.8,62.806,7.2,0,8,0.5621
65.44,83.05,67.13,70.478,11.7,0,3,0.5369
65.76,91.31,72.34,71.234,7.8,1,6,0.4536
53.03,60.42,60.83,64.9515,21.2,1,1,0.729
84.34,69.4,55.01,80.701,7.7,1,4,0.5513
78.39,82.04,57.43,73.6405,20.4,0,8,0.489
67.47,93.74,58.33,85.7665,8.4,0,6,0.6291
85.26,83.02,59.88,79.7155,28.6,1,5,0.3502
76.87,91.95,71,69.424,15.4,1,6,0.4957
73.46,73.7,81.19,61.91,8.2,0,7,0.6237
75.57,85.87,81.44,63.135,6,0,1,0.6391
81.82,99,50,67.0545,13.2,0,3,0.5891
83,57.67,96.05,77.8805,27.3,0,1,0.3779
64.45,96.35,91.14,77.3645,8.6,1,9,0.5001
57.04,76.12,98.2,70.334,24.8,0,4,0.5293
57.83,82.16,68,73.215,15.4,0,2,0.6636
81.97,93.89,83.24,73.544,25.1,1,5,0.2409
93.64,70.48,58.4,64.338,26.9,1,2,0.4368
70.47,70.93,90.85,64.879,29.9,1,7,0.4801
58.48,76.36,58.07,71.8645,6.7,1,4,0.5748
87.83,50.96,66.3,73.0155,24.9,0,5,0.4762
91.62,74.83,74.54,74.6955,6.7,1,9,0.37
94.03,64.55,79.73,69.6965,12.9,0,2,0.4627
80.34,96.4,77.98,71.1005,21.2,0,5,0.4205
93.04,54.39,55.1,73.318,16.2,0,4,0.6499
50.77,72.97,71.08,62.205,19.1,1,3,0.6321
55.36,97.37,96.15,87.278,29.2,1,1,0.3578
54.63,95.05,93.62,79.3355,25.5,0,6,0.3547
85.63,85.07,79.54,82.2155,14.1,0,7,0.3299
53.48,79.47,78.62,58.5395,20,1,1,0.5593
74.82,64.04,55.58,64.133,6.2,1,6,0.6972
73.64,68.35,60.01,64.7865,16.3,0,1,0.6111
65.54,54.51,62.63,64.965,20.2,1,6,0.5512
93.52,89.31,74.41,70.867,22.9,1,4,0.2884
58.52,66.19,86.57,81.302,27.5,0,6,0.457
67.62,83.39,73.04,75.541,12.1,1,1,0.516
88.71,67.88,56.3,70.0715,27.6,0,1,0.4831
51.52,73.22,71.97,75.178,21.5,1,3,0.5159
83.65,77.75,58.13,72.244,6.9,0,6,0.5641
90.82,90.09,87.56,69.5445,14.5,0,3,0.3101
96.61,60.56,58.33,67.7345,16.9,1,7,0.5007
93.81,69.94,74.13,76.3525,13.8,1,4,0.4536
65.97,56.5,84.67,78.704,7.9,1,9,0.5732
79.32,53.79,61.41,68.482,18.8,0,7,0.6695
53.86,80.23,53.8,70.9865,8.3,1,4,0.65
62.89,59.45,78.16,71.06,27.9,0,9,0.5617
54.71,52.99,52.71,68.373,26.6,0,5,0.7338
65.76,94.85,79.39,65.9055,16.9,1,4,0.3955
93.76,76.72,87.67,83.5515,6.7,0,2,0.3679
67.36,56.73,66.47,60.384,18.8,0,9,0.6557
78.09,52.67,74.42,61.588,19.8,0,10,0.748
71.67,55.99,96.44,71.133,27.2,1,8,0.4666
72.95,73.57,73.56,69.142,6.7,1,6,0.5404
98.48,83.42,99.83,80.589,22.3,1,1,0.1802
64.81,82.06,57.85,69.63,19.1,1,8,0.5587
81.37,57.22,85.45,78.349,9.4,1,4,0.4936
71,81.67,82.63,73.696,8,1,1,0.5053
53.06,70.24,93.62,77.4845,22.3,1,3,0.5274
74.47,73.24,54.62,64.697,13.5,1,6,0.5736
90.67,90.07,64.01,70.2955,30,0,2,0.3047
54.94,66.62,56.61,81.192,27.4,0,8,0.6266
53.48,57.35,96.65,76.8965,19.1,1,5,0.4471
57.68,93.67,71.33,64.723,21,0,5,0.4758
88.22,60.61,95.5,69.0825,9,0,1,0.562
86.2,64.7,64.72,62.9595,27.4,1,9,0.5667
78.25,85.33,56.32,75.872,16.5,1,2,0.4374
